state.steeringAngleDeg,state.vEgoRaw,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature,controlsState.desiredCurvature,controlsState.desiredSteeringAngleDeg
-2.099999999999909,21.08888888888889,3.0,1.0,0.0,0.0,-0.0115,0.0006594199494149,0.0002857841318473,-1.6348484788909634
-2.0,21.12777777777778,3.0,1.0,0.0,0.0,-0.0065,0.0006279540548382,0.0001634297805139,-1.235919969968552
-1.699999999999818,21.161111111111115,3.0,1.0,0.0,0.0,-0.0015,0.0005361403075732,5.348496051738039e-05,-0.8789380853916351
-0.7999999999999545,21.225,3.0,1.0,0.0,0.0,-0.002,0.0002666065775688,5.537343167816289e-05,-0.8848348351399036
0.8000000000001819,21.261111111111116,3.0,1.0,0.0,0.0,0.0035,-0.000215136982796,-0.0001032916698022,-0.3662113327511387
2.0,21.325,3.0,1.0,0.0,0.0,0.004,-0.0005704765319364,-6.041671440470964e-05,-0.5060509186465433
2.0,21.35833333333333,3.0,1.0,0.0,0.0,0.006,-0.0005654225183341,-0.0001180959225166,-0.3164405720439039
2.300000000000182,21.41666666666667,3.0,1.0,0.0,0.0,0.008,-0.0006523689947648,-0.00024849906913,0.1138092398670299
2.300000000000182,21.444444444444446,3.0,1.0,0.0,0.0,0.0075,-0.0006504172285636,-0.0001283651799894,-0.2747013767724761
2.200000000000045,21.502777777777776,3.0,1.0,0.0,0.0,0.005,-0.0006181923839174,-4.872222416452132e-05,-0.5283897194936625
2.0,21.53333333333333,3.0,1.0,0.0,0.0,0.0045,-0.0005590449180586,-4.870814518653788e-05,-0.521235342727944
1.6000000000001364,21.594444444444445,3.0,1.0,0.0,0.0,0.0005,-0.0004378854143686,4.087341949343681e-05,-0.810181217656847
1.1000000000001364,21.63055555555556,3.0,1.0,0.0,0.0,-0.005,-0.0002896804559443,0.0001983469119295,-1.3255538085236351
0.1000000000001364,21.683333333333334,3.0,1.0,0.0,0.0,-0.007,6.2212351543522286e-06,0.0003484866465441,-1.820582057393556
