state.steeringAngleDeg,state.vEgoRaw,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature,controlsState.desiredCurvature,controlsState.desiredSteeringAngleDeg
-1.099999999999909,12.597222222222223,3.0,1.0,0.0,0.0,-0.0135,0.0011204929725873,0.0013790547382086,-2.7253374290622654
-1.099999999999909,12.597222222222223,3.0,1.0,0.0,0.0,-0.0155,0.0011189230569513,0.0014972685603424,-3.025054502889133
-1.0,12.586111111111112,3.0,1.0,0.0,0.0,-0.0175,0.0010789862590147,0.0015802857233211,-3.236403936407297
-1.0,12.6,3.0,1.0,0.0,0.0,-0.019,0.001077466058862,0.0016704972367733,-3.468228712779543
-1.199999999999818,12.602777777777778,3.0,1.0,0.0,0.0,-0.0214999999999999,0.0011501375820033,0.0018751673633232,-3.987228938852133
-1.7999999999999543,12.591666666666669,3.0,1.0,0.0,0.0,-0.02,0.0013809563448309,0.0017089848406612,-3.5769840521639367
-2.5,12.597222222222223,3.0,1.0,0.0,0.0,-0.017,0.0016476730830464,0.0015451905783265,-3.176557390198441
-2.399999999999864,12.602777777777778,3.0,1.0,0.0,0.0,-0.018,0.0015994460384865,0.0015890382928773,-3.29822410779642
-2.399999999999864,12.58888888888889,3.0,1.0,0.0,0.0,-0.0195,0.0015928040918068,0.0016564258839935,-3.4753909103953413
-2.199999999999818,12.57777777777778,3.0,1.0,0.0,0.0,-0.018,0.0015142385566946,0.0015743267722427,-3.278391021547689
-2.0,12.58888888888889,3.0,1.0,0.0,0.0,-0.019,0.0014409677156979,0.0016275919042527,-3.418175619617506
-1.899999999999864,12.572222222222225,3.0,1.0,0.0,0.0,-0.0175,0.0014073120321353,0.0015536511782556,-3.2295460862501235
-1.699999999999818,12.572222222222225,3.0,1.0,0.0,0.0,-0.0155,0.0013292412180028,0.0014484205748885,-2.96319209722555
-1.699999999999818,12.583333333333336,3.0,1.0,0.0,0.0,-0.0135,0.0013316160480322,0.0013514833990484,-2.72191364179127
-1.2999999999999543,12.575,3.0,1.0,0.0,0.0,-0.0145,0.0011749141423186,0.0014164905296638,-2.8827162220089333
-1.0,12.583333333333336,3.0,1.0,0.0,0.0,-0.0165,0.0010561185714916,0.0015114216366782,-3.116439682400839
-1.0,12.586111111111112,3.0,1.0,0.0,0.0,-0.016,0.0010618785993256,0.0014808918349444,-3.0358901005619
-1.099999999999909,12.605555555555556,3.0,1.0,0.0,0.0,-0.0145,0.001108470513853,0.0014073665952309,-2.84214011591076
-1.0,12.594444444444449,3.0,1.0,0.0,0.0,-0.0165,0.0010726056269656,0.0015316780190914,-3.1418709865739043
-1.099999999999909,12.602777777777778,3.0,1.0,0.0,0.0,-0.017,0.00111272279094,0.0015675668837502,-3.2245808351937906
-1.199999999999818,12.622222222222222,3.0,1.0,0.0,0.0,-0.0155,0.0011524323903112,0.0014855619519948,-3.0151585191935264
-1.199999999999818,12.605555555555556,3.0,1.0,0.0,0.0,-0.017,0.0011486457025379,0.0015504750190302,-3.173287987344117
-1.2999999999999543,12.602777777777778,3.0,1.0,0.0,0.0,-0.019,0.0011861392139759,0.0016616487409919,-3.452272143557338
-1.2999999999999543,12.597222222222223,3.0,1.0,0.0,0.0,-0.02,0.0011834206615586,0.0016974370228126,-3.542438955012676
-1.5,12.597222222222223,3.0,1.0,0.0,0.0,-0.0204999999999999,0.0012584219178776,0.0017349865520372,-3.637458792287082
-1.7999999999999543,12.594444444444449,3.0,1.0,0.0,0.0,-0.0195,0.0013724000842221,0.0016739111160859,-3.486465925474096
-1.7999999999999543,12.602777777777778,3.0,1.0,0.0,0.0,-0.0204999999999999,0.0013653233095743,0.0017089376924559,-3.58031777673124
-2.099999999999909,12.6,3.0,1.0,0.0,0.0,-0.0224999999999999,0.0014780721366741,0.0018193842843174,-3.86049857485388
-2.2999999999999545,12.602777777777778,3.0,1.0,0.0,0.0,-0.0249999999999999,0.0015540579964674,0.0020599260460585,-4.467088531254996
