carState.vEgo,carState.steeringAngleDeg,carState.steeringAngle,carState.steeringTorque,carState.steeringPressed,can.Yaw_Data_FD1.VehRol_W_Actl,can.Yaw_Data_FD1.VehYaw_W_Actl,sendcan.LateralMotionControl.LatCtlPath_An_Actl,liveParameters.roll,liveParameters.rollAngleDeg,liveParameters.rollAngle,liveParameters.actualCurvature,liveParameters.stockRollAngleDeg,liveParameters.stockRollAngle,controlsState.desiredCurvature,controlsState.lateralControlState.angleState.active,controlsState.lateralControlState.angleState.steeringAngleDeg,controlsState.lateralControlState.angleState.steeringAngle,controlsState.lateralControlState.angleState.steeringAngleDesiredDeg,controlsState.lateralControlState.angleState.steeringAngleDesired,controlsState.steeringAngleDeltaDeg,controlsState.steeringAngleDelta,actuatorsOutput.steeringAngleDeg,actuatorsOutput.steeringAngle
30.525522232055664,-3.400000095367432,-0.0593411962322828,0.1875,False,-0.0365999999999999,-0.0207999999999994,-0.0135,0.0414240211248397,0.0117122669204589,0.0002044176206344,0.0005639543600635,-0.0103483186240397,-0.0001806122320349,4.965140760759823e-05,True,-3.400000095367432,-0.0593411962322828,-2.60534143447876,-0.0454717861702864,0.7946586608886719,0.0138694100619964,-2.60534143447876,-0.0454717861702864
30.54405403137207,-3.400000095367432,-0.0593411962322828,0.25,False,0.0003999999999999,-0.0259999999999998,-0.0135,0.0406149998307228,0.0114835208106256,0.0002004252478667,0.0005607675843545,0.0001130963521702,1.9739037173657527e-06,5.070177576271817e-05,True,-3.400000095367432,-0.0593411962322828,-2.6130189895629883,-0.0456057847850094,0.7869811058044434,0.0137354114472733,-2.6130189895629883,-0.0456057847850094
30.55659294128418,-3.200000047683716,-0.0558505368960563,0.125,False,0.0162000000000004,-0.0213999999999998,-0.014,0.0400904975831508,0.0113352180057103,0.0001978368756309,0.0005130826148651,0.0045804004131315,7.994306826885388e-05,5.991582293063402e-05,True,-3.200000047683716,-0.0558505368960563,-2.6406118869781494,-0.046087371695069,0.5593881607055664,0.0097631652009873,-2.6406118869781494,-0.046087371695069
30.58082771301269,-3.200000047683716,-0.0558505368960563,0.0,False,0.0100000000000006,-0.0169999999999994,-0.013,0.0397992469370365,0.0112528682225003,0.0001963996007756,0.0005130674120408,0.0028274073226318,4.934756707492374e-05,3.119069879176095e-05,True,-3.200000047683716,-0.0558505368960563,-2.493166208267212,-0.0435139591337255,0.7068338394165039,0.0123365777623308,-2.493166208267212,-0.0435139591337255
30.59990692138672,-2.799999952316284,-0.0488692182236033,0.1875,False,0.0018000000000002,-0.0167999999999999,-0.0125,0.0396397598087787,0.0112077689360009,0.0001956124697359,0.0004161213397678,0.0005089330556522,8.882557493367902e-06,9.951697393262291e-06,True,-2.799999952316284,-0.0488692182236033,-2.386913776397705,-0.0416595043593516,0.4130861759185791,0.0072097138642517,-2.386913776397705,-0.0416595043593516
30.60876846313477,-2.799999952316284,-0.0488692182236033,0.125,False,0.0003999999999999,-0.0133999999999998,-0.012,0.0395481847226619,0.0111818583953108,0.0001951602454899,0.0004129496104833,0.0001130960469991,1.9738983911248074e-06,-1.967421212611953e-06,True,-2.799999952316284,-0.0488692182236033,-2.333005428314209,-0.0407186261909834,0.4669945240020752,0.0081505920326198,-2.333005428314209,-0.0407186261909834
30.61246490478516,-2.900000095367432,-0.0506145499723112,0.125,False,-0.0047999999999994,-0.0135999999999993,-0.012,0.0394703336060047,0.0111598124225965,0.0001947754706792,0.0004326506066204,-0.0013571483880315,-2.368670780928448e-05,-1.1443533367128111e-05,True,-2.900000095367432,-0.0506145499723112,-2.300246000289917,-0.0401468663108894,0.5997540950775146,0.0104676836614217,-2.300246000289917,-0.0401468663108894
30.6186637878418,-2.799999952316284,-0.0488692182236033,0.125,False,-0.0003999999999999,-0.0149999999999996,-0.012,0.0393743515014648,0.0111326403527141,0.0001943012285952,0.0004052584910992,-0.0001130953519556,-1.973886260328581e-06,-2.330768620595336e-05,True,-2.799999952316284,-0.0488692182236033,-2.2615721225738525,-0.0394718798102305,0.5384278297424316,0.0093973384133728,-2.2615721225738525,-0.0394718798102305
30.624547958374023,-2.900000095367432,-0.0506145499723112,0.125,False,0.0068000000000001,-0.0167999999999999,-0.012,0.0392877161502838,0.0111081282171483,0.0001938734111229,0.0004273226462944,0.0019226180414171,3.3556015080973256e-05,-2.856834953490761e-06,True,-2.900000095367432,-0.0506145499723112,-2.369619846343994,-0.0413576683393048,0.5303802490234375,0.0092568816330064,-2.369619846343994,-0.0413576683393048
30.62897682189941,-2.900000095367432,-0.0506145499723112,0.25,False,0.0045999999999999,-0.0173999999999994,-0.0125,0.0393109321594238,0.0111146966592631,0.0001939880520645,0.0004276267998817,0.0013005950717541,2.2699666237322412e-05,-2.851375938917045e-06,True,-2.900000095367432,-0.0506145499723112,-2.369643211364746,-0.0413580761358467,0.5303568840026855,0.0092564738364645,-2.369643211364746,-0.0413580761358467
30.645584106445312,-2.799999952316284,-0.0488692182236033,0.25,False,0.0138000000000007,-0.0169999999999994,-0.0125,0.0394531935453414,0.0111549427642595,0.0001946904791078,0.0004059627513623,0.0039017933990534,6.809914154606301e-05,9.235819788955268e-07,True,-2.799999952316284,-0.0488692182236033,-2.385948181152344,-0.0416426515430785,0.4140517711639404,0.0072265666805248,-2.385948181152344,-0.0416426515430785
30.656570434570312,-2.900000095367432,-0.0506145499723112,0.1875,False,0.0086000000000003,-0.0183999999999997,-0.012,0.0396643057465553,0.0112146438146195,0.0001957324590035,0.0004311636569128,0.0024315548952752,4.243863886553984e-05,-1.556600363983307e-05,True,-2.900000095367432,-0.0506145499723112,-2.306272029876709,-0.0402520403680016,0.5937280654907227,0.0103625096043096,-2.306272029876709,-0.0402520403680016
30.669607162475582,-2.900000095367432,-0.0506145499723112,0.25,False,0.0106000000000001,-0.0191999999999996,-0.012,0.0399703122675418,0.0113011772764616,0.0001972427528258,0.0004332565439039,0.0029970363586019,5.230815225958514e-05,-2.6326670194976032e-05,True,-2.900000095367432,-0.0506145499723112,-2.2584168910980225,-0.0394168106323147,0.6415832042694092,0.0111977393399965,-2.2584168910980225,-0.0394168106323147
