state.vEgoRaw,state.steeringAngleDeg,state.steeringPressed,actuators.enabled,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature,controlsState.desiredCurvature,controlsState.desiredSteeringAngleDeg
8.747222222222224,-6.2999999999999545,True,False,2.0,0.0,0.0,0.0,-0.033999999999999975,0.002696749571858761,0.0012703276006504893,-3.4322302900449935
8.738888888888889,-6.099999999999909,True,False,2.0,0.0,0.0,0.0,-0.032999999999999974,0.0025975578898306114,0.0011309714755043387,-3.135021465718561
8.725,-5.899999999999864,True,False,2.0,0.0,0.0,0.0,-0.03199999999999997,0.002499956505165669,0.0006775358924642205,-2.1255930707652824
8.691666666666666,-5.599999999999909,True,False,2.0,0.0,0.0,0.0,-0.03049999999999997,0.002361846956927863,0.000984644633717835,-2.8482017819010763
8.680555555555555,-5.2999999999999545,True,False,2.0,0.0,0.0,0.0,-0.02899999999999997,0.0022231689769470673,0.0009242530795745552,-2.726800870779729
8.647222222222222,-5.199999999999818,True,False,2.0,0.0,0.0,0.0,-0.02749999999999997,0.002179208893566623,0.0010208283783867955,-2.9596513013515615
8.625,-5.199999999999818,True,False,2.0,0.0,0.0,0.0,-0.02749999999999997,0.0021838984334189896,0.0010727791814133525,-3.085635844292817
8.605555555555556,-5.199999999999818,True,False,2.0,0.0,0.0,0.0,-0.02749999999999997,0.002187990259628499,0.0010942593216896057,-3.142133705327663
8.583333333333334,-5.0,True,False,2.0,0.0,0.0,0.0,-0.02699999999999997,0.002101632695494312,0.0010076577309519053,-2.95508083832664
8.558333333333334,-5.0,True,False,2.0,0.0,0.0,0.0,-0.025999999999999968,0.002102579503823892,0.0008982243598438799,-2.719362196320136
8.533333333333333,-4.699999999999818,True,False,2.0,0.0,0.0,0.0,-0.024999999999999967,0.00196523991068349,0.0008910827455110848,-2.714526131451877
8.5,-4.599999999999909,True,False,2.0,0.0,0.0,0.0,-0.023999999999999966,0.0019161232940274908,0.0009022240992635489,-2.7549675674416174
8.475000000000001,-4.399999999999864,True,False,2.0,0.0,0.0,0.0,-0.022999999999999965,0.0018280695651299644,0.0004089791909791529,-1.6504009688157668
8.447222222222223,-4.099999999999909,True,False,2.0,0.0,0.0,0.0,-0.021499999999999964,0.0016995363119003144,0.00029282033210620284,-1.3979770515522028
8.422222222222222,-3.7999999999999545,True,False,2.0,0.0,0.0,0.0,-0.020000000000000018,0.0015702453578683522,3.959197783842683e-05,-0.8282513005690779
8.38888888888889,-3.699999999999818,True,False,2.0,0.0,0.0,0.0,-0.019500000000000017,0.0015302536134005266,0.00023763607896398753,-1.2828304650754145
8.361111111111112,-3.699999999999818,True,False,2.0,0.0,0.0,0.0,-0.019000000000000017,0.0015315936006512667,5.852322283317335e-05,-0.8824131918788682
8.333333333333334,-3.599999999999909,True,False,2.0,0.0,0.0,0.0,-0.018500000000000016,0.0014845913822353657,-0.00020938052330166101,-0.2852926003996685
8.302777777777779,-3.3999999999998636,True,False,2.0,0.0,0.0,0.0,-0.018000000000000016,0.0013909271291740214,-0.0007717707776464522,0.9720458893392642
8.266666666666667,-3.3999999999998636,True,False,2.0,0.0,0.0,0.0,-0.017000000000000015,0.0013834035515723684,-0.0006502736359834671,0.6742447229824718
8.241666666666667,-3.099999999999909,True,False,2.0,0.0,0.0,0.0,-0.016000000000000014,0.0012430360272356793,-0.0006507340585812926,0.6572575053911136
8.208333333333334,-2.8999999999998636,True,False,2.0,0.0,0.0,0.0,-0.014500000000000013,0.0011496836273373757,-0.00051006959984079,0.32634265191956513
8.183333333333334,-2.7999999999999545,True,False,2.0,0.0,0.0,0.0,-0.014000000000000012,0.0011067218721551764,-0.00044158901437185705,0.1630434247711168
8.15,-2.7999999999999545,True,False,2.0,0.0,0.0,0.0,-0.014000000000000012,0.0011104834045461997,-0.0004987179418094456,0.2880528142024186
8.116666666666667,-2.7999999999999545,True,False,2.0,0.0,0.0,0.0,-0.014000000000000012,0.0011160370851239255,-0.0003625022654887289,-0.025132713185487068
8.080555555555556,-2.7999999999999545,True,False,2.0,0.0,0.0,0.0,-0.014000000000000012,0.00112300784066197,-0.00036262860521674156,-0.0316307412875315
8.052777777777779,-2.599999999999909,True,False,2.0,0.0,0.0,0.0,-0.013500000000000012,0.0010399951099398762,-0.0004417406744323671,0.1425502172265366
8.030555555555557,-2.3999999999998636,True,False,2.0,0.0,0.0,0.0,-0.01200000000000001,0.0009574845155519914,-0.0006172801950015128,0.539577795793069
7.98888888888889,-2.2999999999999545,True,False,2.0,0.0,0.0,0.0,-0.01100000000000001,0.0009243566779387675,-0.0006277901120483875,0.5689343094263668
7.955555555555556,-2.2999999999999545,True,False,2.0,0.0,0.0,0.0,-0.01100000000000001,0.0009357840714917888,-0.0008102109422907233,0.9875650804040419
7.9333333333333345,-2.2999999999999545,True,False,2.0,0.0,0.0,0.0,-0.01100000000000001,0.0009457076676040801,-0.00120585469994694,1.8858698571427
7.894444444444446,-2.199999999999818,True,False,2.0,0.0,0.0,0.0,-0.01100000000000001,0.0009082511454421582,-0.0015511400997638702,2.6689079231705635
7.872222222222223,-2.199999999999818,True,False,2.0,0.0,0.0,0.0,-0.01050000000000001,0.0009132318818388489,-0.0019104779930785298,3.4816297113817893
7.838888888888889,-2.099999999999909,True,False,2.0,0.0,0.0,0.0,-0.01050000000000001,0.0008713429195646827,-0.0024943137541413307,4.797364453277362
7.808333333333334,-2.0,True,False,2.0,0.0,0.0,0.0,-0.009500000000000008,0.0008298329189840171,-0.0023742285557091236,4.532876223256727
7.755555555555556,-1.8999999999998636,True,False,2.0,0.0,0.0,0.0,-0.009000000000000008,0.0007929356772376963,-0.002438353141769767,4.685520607869936
7.7250000000000005,-1.699999999999818,False,False,2.0,0.0,0.0,0.0,-0.008500000000000008,0.0007164047100946427,-0.0023196665570139885,4.427520558641295
7.6722222222222225,-1.5,False,False,2.0,0.0,0.0,0.0,-0.007500000000000007,0.0006409794959846764,-0.002093180315569043,3.9327102069279114
7.6416666666666675,-1.5,False,False,2.0,0.0,0.0,0.0,-0.007000000000000006,0.0006509251565149849,-0.002251176629215479,4.298103058282426
7.594444444444445,-1.5,False,False,2.0,0.0,0.0,0.0,-0.007000000000000006,0.0006569961046159016,-0.002432293025776744,4.715205327347254
