state.steeringAngleDeg,state.vEgoRaw,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature
0.1000000000001364,16.98611111111111,2.0,0.0,-0.0006199999999999,0.0499999999999998,0.0015,6.892282401290204e-05
0.7000000000000455,16.997222222222224,2.0,0.0,-0.0005799999999999,0.0499999999999998,0.0015,-0.0001228190128421
0.8000000000001819,16.98888888888889,2.0,0.0,-0.0005599999999999,0.0499999999999998,0.0015,-0.0001463159214701
0.900000000000091,16.997222222222224,2.0,0.0,-0.0005599999999999,0.04,0.001,-0.0001744603931621
0.900000000000091,17.00277777777778,2.0,0.0,-0.0005399999999999,0.0300000000000002,0.001,-0.0001735438543188
0.8000000000001819,16.98611111111111,2.0,0.0,-0.0005199999999999,0.0300000000000002,0.001,-0.0001397852757249
0.8000000000001819,17.005555555555556,2.0,0.0,-0.0005,0.0199999999999995,0.0005,-0.0001360217783884
0.6000000000001364,16.98888888888889,2.0,0.0,-0.0004799999999999,0.0099999999999997,0.0005,-6.666854213434692e-05
0.5,16.98888888888889,2.0,0.0,-0.0005,0.0,0.0,-3.012096337319574e-05
0.2000000000000454,16.983333333333334,2.0,0.0,-0.0005,0.0,-0.0005,7.012918724948864e-05
0.0,17.0,2.0,0.0,-0.0005,0.0,-0.0005,0.0001330788154454
-0.2999999999999545,17.022222222222222,2.0,0.0,-0.0004799999999999,0.0,-0.001,0.0002255667492096
-0.599999999999909,17.01388888888889,2.0,0.0,-0.0004799999999999,0.0,-0.0005,0.0003213416655381
-0.5,17.016666666666666,2.0,0.0,-0.0005,-0.0199999999999995,-0.0015,0.0002867008423029
-0.599999999999909,16.994444444444444,2.0,0.0,-0.0005,-0.0300000000000002,-0.0015,0.0003226162285319
-0.5,17.005555555555556,2.0,0.0,-0.0005199999999999,-0.04,-0.002,0.0002926247510417
-0.5,16.991666666666667,2.0,0.0,-0.0005399999999999,-0.0599999999999996,-0.002,0.0002940535122105
-0.6999999999998181,16.997222222222224,2.0,0.0,-0.0005199999999999,-0.0599999999999996,-0.003,0.0003583659527156
-0.8999999999998636,17.01388888888889,2.0,0.0,-0.0005399999999999,-0.0700000000000002,-0.0025,0.0004198926534347
-1.099999999999909,17.011111111111113,2.0,0.0,-0.0005,-0.0599999999999996,-0.0025,0.0004830998321777
-1.099999999999909,17.02777777777778,2.0,0.0,-0.0005,-0.0700000000000002,-0.0025,0.0004827192219829
-1.099999999999909,17.025000000000002,2.0,0.0,-0.0005,-0.08,-0.0025,0.0004840717117263
-1.0,17.033333333333335,2.0,0.0,-0.0005,-0.0899999999999998,-0.0025,0.0004529679496979
-1.0,17.025000000000002,2.0,0.0,-0.0005,-0.0899999999999998,-0.0025,0.0004591759884065
-1.0,17.03055555555556,2.0,0.0,-0.0005199999999999,-0.0999999999999996,-0.003,0.0004638851729549
-1.0,17.03055555555556,2.0,0.0,-0.0005,-0.0999999999999996,-0.003,0.0004732057228653
-1.0,17.03611111111111,2.0,0.0,-0.0005199999999999,-0.1100000000000003,-0.0035,0.0004877416568988
-1.0,17.019444444444446,2.0,0.0,-0.0005399999999999,-0.1299999999999999,-0.0035,0.0004999568830475
-1.099999999999909,17.019444444444446,2.0,0.0,-0.0005199999999999,-0.1299999999999999,-0.0035,0.000538854415875
-1.2999999999999543,17.01388888888889,2.0,0.0,-0.0005,-0.1299999999999999,-0.0035,0.0006052442312488
-1.599999999999909,17.022222222222222,2.0,0.0,-0.0004799999999999,-0.1399999999999996,-0.003,0.0006965599902516
-1.599999999999909,17.008333333333336,2.0,0.0,-0.00042,-0.1399999999999996,-0.002,0.0006867096893081
-1.599999999999909,17.022222222222222,2.0,0.0,-0.0003799999999999,-0.1200000000000001,-0.0015,0.0006819931951616
-1.3999999999998636,17.044444444444444,2.0,0.0,-0.0002799999999999,-0.0999999999999996,-0.0005,0.0006183156415479
-0.7999999999999545,17.02777777777778,2.0,0.0,-0.0002999999999999,-0.0999999999999996,0.0,0.0004295553285832
0.900000000000091,17.044444444444444,2.0,0.0,-0.0003199999999999,-0.1200000000000001,-0.0005,-0.000116736511121
2.1000000000001364,17.01388888888889,2.0,0.0,-0.0002999999999999,-0.1200000000000001,-0.0005,-0.0004962383583096
2.1000000000001364,17.025000000000002,2.0,0.0,-0.0002799999999999,-0.1100000000000003,0.0,-0.0004848072577754
1.400000000000091,17.008333333333336,2.0,0.0,-0.0001999999999999,-0.08,0.0005,-0.0002490396381324
0.6000000000001364,17.008333333333336,2.0,0.0,-0.0001199999999999,-0.0599999999999996,0.0015,1.3638207134257534e-05
0.4000000000000909,17.005555555555556,2.0,0.0,0.0,-0.04,0.0025,7.366974523434697e-05
0.5,17.008333333333336,2.0,0.0,6.000000000000103e-05,-0.0099999999999997,0.0035,4.3127004504660434e-05
0.900000000000091,17.01388888888889,2.0,0.0,6.000000000000103e-05,0.0300000000000002,0.004,-8.438701405549408e-05
2.0,17.005555555555556,2.0,0.0,0.0,0.04,0.0035,-0.0004438960126872
3.200000000000045,17.025000000000002,2.0,0.0,-3.999999999999837e-05,0.0499999999999998,0.0025,-0.0008383303499563
3.200000000000045,17.02777777777778,2.0,0.0,-8.000000000000021e-05,0.0300000000000002,0.0015,-0.0008327637896533
3.1000000000001364,17.03055555555556,2.0,0.0,-1.9999999999999185e-05,0.04,0.0015,-0.0007939484564669
3.1000000000001364,17.03055555555556,2.0,0.0,4.000000000000184e-05,0.0300000000000002,0.002,-0.0007917563993223
